DISTRICT|FY04
St Clairsville-Richland City|4894
Shadyside Local SD|8576
Union Local SD|9234
Eastern Local SD|8741
Fayetteville-Perry Local SD|8706
Western Brown Local SD|9453
Ripley-Union-Lewis Local SD|8792
Edgewood City SD|10338
Fairfield City SD|9257
Lakota Local SD|9394
Madison Local SD|6972
New Miami Local SD|7497
Ross Local SD|7211
Talawanda City SD|6159
Brown Local SD|5717
Graham Local SD|6363
Triad Local SD|5300
West Liberty-Salem Local SD|4788
Greenon Local SD|4249
Tecumseh Local SD|4138
Northeastern Local SD|9996
Northwestern Local SD|8993
Southeastern Local SD|8484
Clark-Shawnee Local SD|9503
Batavia Local SD|8379
Bethel-Tate Local SD|8311
Clermont-Northeastern Local|7581
Felicity-Franklin Local SD|8989
Goshen Local SD|7488
West Clermont Local SD|6657
Williamsburg Local SD|7111
Blanchester Local SD|6943
Clinton-Massie Local SD|5697
East Clinton Local SD|6131
Beaver Local SD|5647
Crestview Local SD|5513
Southern Local SD|4939
United Local SD|4278
Ridgewood Local SD|8355
River View Local SD|7968
Buckeye Central Local SD|7428
Colonel Crawford Local SD|9467
Wynford Local SD|9196
Cuyahoga Heights Local SD|9096
Independence Local SD|8411
Olmsted Falls City SD|8065
Orange City SD|7231
Richmond Heights Local SD|6886
Solon City SD|6645
Ansonia Local SD|6299
Arcanum Butler Local SD|7072
Franklin-Monroe Local SD|6469
Mississinawa Valley Local SD|5076
Tri-Village Local SD|5031
Ayersville Local SD|5379
Central Local SD|5915
Northeastern Local SD|5231
Big Walnut Local SD|9472
Buckeye Valley Local SD|9368
Olentangy Local SD|19168
Berlin-Milan Local SD|14594
Kelleys Island Local SD|10180
Margaretta Local SD|18247
Perkins Local SD|11146
Vermilion Local SD|11038
Amanda-Clearcreek Local SD|8151
Berne Union Local SD|6690
Bloom Carroll Local SD|6934
Fairfield Union Local SD|6859
Liberty Union-Thurston Local|6130
Pickerington Local SD|6417
Walnut Township Local SD|5317
Miami Trace Local SD|5911
Canal Winchester Local SD|5170
Hamilton Local SD|4846
Gahanna-Jefferson City SD|9748
Groveport Madison Local SD|9599
Plain Local SD|9403
Reynoldsburg City SD|57181
Hilliard City SD|10172
Dublin City SD|9434
Archbold-Area Local SD|9285
Evergreen Local SD|8335
Gorham Fayette Local SD|7396
Pettisville Local SD|7980
Pike-Delta-York Local SD|7284
Swanton Local SD|7320
Berkshire Local SD|6853
