line_00 is....
Akron City SD|13121

['Clyde-Green Springs Ex Vill', '9004\n']
['Coldwater Ex Vill SD', '8008\n']
['Columbiana Ex Vill SD', '9145\n']
['Covington Ex Vill SD', '9618\n']
['Crestline Ex Vill SD', '8310\n']
['Crooksville Ex Vill SD', '7766\n']
['Fairport Harbor Ex Vill SD', '7069\n']
['Georgetown Ex Vill SD', '6688\n']
['Gibsonburg Ex Vill SD', '9430\n']
['Granville Ex Vill SD', '6469\n']
['Greenfield Ex Vill SD', '6459\n']
['Hicksville Ex Vill SD', '5621\n']
['Hubbard Ex Vill SD', '5811\n']
['Indian Hill Ex Vill SD', '5509\n']
['Leetonia Ex Vill SD', '5924\n']
['Lisbon Ex Vill SD', '5053\n']
['Loudonville-Perrysville Ex V', '9896\n']
['Marysville Ex Vill SD', '9313\n']
['Mechanicsburg Ex Vill SD', '7963\n']
['Mentor Ex Vill SD', '8167\n']
['Milford Ex Vill SD', '9277\n']
['Milton-Union Ex Vill SD', '8048\n']
['Montpelier Ex Vill SD', '7623\n']
['Mount Gilead Ex Vill SD', '7534\n']
['Newcomerstown Ex Vill SD', '11199\n']
['New Richmond Ex Vill SD', '6732\n']
['Newton Falls Ex Vill SD', '6047\n']
['Paulding Ex Vill SD', '7154\n']
['Perrysburg Ex Vill SD', '6921\n']
['Rittman Ex Vill SD', '5396\n']
['Rossford Ex Vill SD', '6316\n']
['Tipp City Ex Vill SD', '4869\n']
['Upper Sandusky Ex Vill SD', '4662\n']
['Versailles Ex Vill SD', '4803\n']
['Wauseon Ex Vill SD', '4315\n']
['Wellington Ex Vill SD', '9943\n']
['Windham Ex Vill SD', '9790\n']
['Yellow Springs Ex Vill SD', '10921\n']
['Allen East Local SD', '7908\n']
['Bath Local SD', '8953\n']
['Elida Local SD', '9893\n']
['Perry Local SD', '7732\n']
['Shawnee Local SD', '10816\n']
['Spencerville Local SD', '7191\n']
['Hillsdale Local SD', '7258\n']
['Mapleton Local SD', '6396\n']
['Buckeye Local SD', '6112\n']
['Grand Valley Local SD', '6862\n']
['Jefferson Area Local SD', '7189\n']
['Pymatuning Valley Local SD', '8323\n']
['Alexander Local SD', '4959\n']
['Federal Hocking Local SD', '6222\n']
['Trimble Local SD', '4116\n']
['Minster Local SD', '5126\n']
['New Bremen Local SD', '8977\n']
['New Knoxville Local SD', '9103\n']
['Waynesfield-Goshen Local SD', '9099\n']
['St Clairsville-Richland City', '8063\n']
['Shadyside Local SD', '7801\n']
['Union Local SD', '9100\n']
['Eastern Local SD', '8047\n']
['Fayetteville-Perry Local SD', '7270\n']
['Western Brown Local SD', '7560\n']
['Ripley-Union-Lewis Local SD', '7711\n']
['Edgewood City SD', '8114\n']
['Fairfield City SD', '8249\n']
['Lakota Local SD', '6901\n']
['Madison Local SD', '5889\n']
['New Miami Local SD', '6664\n']
['Ross Local SD', '6168\n']
['Talawanda City SD', '4595\n']
['Brown Local SD', '5151\n']
['Graham Local SD', '4004\n']
['Triad Local SD', '2697\n']
['West Liberty-Salem Local SD', '9120\n']
['Greenon Local SD', '9733\n']
['Tecumseh Local SD', '7800\n']
['Northeastern Local SD', '9058\n']
['Northwestern Local SD', '8050\n']
['Southeastern Local SD', '8313\n']
['Clark-Shawnee Local SD', '8026\n']
['Batavia Local SD', '7568\n']
['Bethel-Tate Local SD', '7869\n']
['Clermont-Northeastern Local', '6743\n']
['Felicity-Franklin Local SD', '6599\n']
['Goshen Local SD', '5577\n']
['West Clermont Local SD', '5803\n']
['Williamsburg Local SD', '5706\n']
['Blanchester Local SD', '5246\n']
['Clinton-Massie Local SD', '4487\n']
['East Clinton Local SD', '4662\n']
['Beaver Local SD', '9416\n']
['Crestview Local SD', '8458\n']
['Southern Local SD', '8252\n']
['United Local SD', '8114\n']
['Ridgewood Local SD', '8000\n']
['River View Local SD', '8417\n']
['Buckeye Central Local SD', '7237\n']
['Colonel Crawford Local SD', '7941\n']
['Wynford Local SD', '8148\n']
['Cuyahoga Heights Local SD', '8289\n']
['Independence Local SD', '6906\n']
['Olmsted Falls City SD', '6469\n']
['Orange City SD', '10173\n']
['Richmond Heights Local SD', '6067\n']
['Solon City SD', '5650\n']
['Ansonia Local SD', '5216\n']
['Arcanum Butler Local SD', '5239\n']
['Franklin-Monroe Local SD', '5282\n']
['Mississinawa Valley Local SD', '4036\n']
['Tri-Village Local SD', '8727\n']
['Ayersville Local SD', '9317\n']
['Central Local SD', '9295\n']
['Northeastern Local SD', '9767\n']
['Big Walnut Local SD', '8601\n']
['Buckeye Valley Local SD', '8167\n']
['Olentangy Local SD', '17811\n']
['Berlin-Milan Local SD', '11123\n']
['Kelleys Island Local SD', '8926\n']
['Margaretta Local SD', '14859\n']
['Perkins Local SD', '9052\n']
['Vermilion Local SD', '9651\n']
['Amanda-Clearcreek Local SD', '7276\n']
['Berne Union Local SD', '5534\n']
['Bloom Carroll Local SD', '5546\n']
['Fairfield Union Local SD', '6362\n']
['Liberty Union-Thurston Local', '5354\n']
['Pickerington Local SD', '4630\n']
['Walnut Township Local SD', '9643\n']
['Miami Trace Local SD', '8324\n']
