IRN,DISTRICT,COUNTY,FY95,FY96,FY97,FY98,FY99,FY00,FY01,FY02,FY03,FY04,FY05,FY06,FY07,FY08,FY09,FY10,FY11,FY12
043810,Conneaut Area City SD,Ashtabula,"4,756","4,701","4,837","5,244","5,732","6,076","6,221","6,780","7,171","8,455","9,064","9,005","8,331","8,686","9,080","9,599","9,417","9,739"
043828,Coshocton City SD,Coshocton,"4,893","4,977","5,114","5,483","5,949","6,254","6,501","6,872","7,511","7,932","8,534","9,143","9,165","8,944","8,800","9,313","9,912","10,093"
043836,Cuyahoga Falls City SD,Summit,"5,240","5,257","5,666","5,977","6,194","6,896","6,915","7,181","7,902","8,454","8,753","8,212","8,623","8,999","9,182","9,923","9,741","9,939"
043844,Dayton City SD,Montgomery,"6,911","7,242","7,807","8,088","9,199","9,217","9,564","9,854","11,392","11,669","12,732","13,644","13,531","12,705","13,425","14,256","14,047","14,374"
043851,Deer Park Community City SD,Hamilton,"5,081","5,428","5,904","6,253","6,853","7,133","7,554","8,221","8,576","8,892","9,562","10,053","10,541","10,994","11,053","10,913","11,357","10,937"
043869,Defiance City SD,Defiance,"4,676","4,925","4,922","5,520","5,910","6,369","6,967","7,165","7,393","7,704","8,370","8,603","8,979","8,904","8,352","8,550","8,784","8,845"
043877,Delaware City SD,Delaware,"5,463","5,460","5,529","6,085","6,370","7,108","7,885","8,363","8,276","8,394","9,186","9,390","9,536","9,464","10,235","9,822","10,008","9,681"
043885,Delphos City SD,Allen,"4,709","4,524","4,737","4,902","5,317","5,881","6,098","6,837","6,966","7,211","7,869","7,913","8,043","8,388","8,005","8,061","7,963","7,673"
043893,Dover City SD,Tuscarawas,"4,546","4,507","4,887","5,188","5,771","5,970","6,569","7,007","7,265","7,365","7,809","7,947","8,331","8,329","8,429","8,479","8,525","8,557"
043901,East Cleveland City SD,Cuyahoga,"7,125","7,022","7,486","7,948","9,469","9,285","10,391","10,400","10,855","10,680","10,769","11,479","12,757","13,835","14,215","14,423","16,842","17,368"
043919,East Liverpool City SD,Columbiana,"5,933","5,877","6,180","6,429","6,582","7,278","7,690","8,311","8,547","8,923","9,417","8,984","9,318","9,829","10,680","10,806","11,268","11,533"
043927,East Palestine City SD,Columbiana,"4,229","4,388","4,373","4,959","5,243","5,626","5,854","6,398","6,925","6,850","7,162","7,449","7,365","7,963","8,004","7,818","7,941","7,963"
043935,Eaton Community Schools City,Preble,"4,163","4,744","4,968","5,555","5,597","5,883","6,310","6,748","6,847","7,383","7,865","7,626","7,666","8,145","8,511","8,659","8,978","8,725"
043943,Elyria City SD,Lorain,"5,617","6,074","5,915","6,222","6,390","7,789","7,706","8,103","8,771","9,136","9,775","9,527","9,872","9,983","9,886","10,024","10,328","10,964"
043950,Euclid City SD,Cuyahoga,"6,803","7,294","7,763","8,256","8,122","8,195","8,976","9,443","9,735","10,335","11,382","11,169","11,450","12,236","12,452","12,464","13,484","12,462"
043968,Fairborn City SD,Greene,"4,571","4,547","5,304","5,715","6,119","6,603","6,921","7,341","8,199","8,113","8,105","8,629","9,560","9,458","9,592","10,053","10,127","9,887"
043976,Fairview Park City SD,Cuyahoga,"6,510","6,479","6,828","7,392","7,583","8,456","9,246","9,957","10,538","10,351","11,020","11,049","9,892","11,082","12,178","11,994","11,471","11,308"
043984,Findlay City SD,Hancock,"5,966","6,351","6,436","6,545","7,048","7,303","7,975","8,143","8,328","8,826","8,949","8,997","9,044","9,470","9,844","10,091","10,376","10,269"
043992,Fostoria City SD,Seneca,"5,103","5,346","6,064","6,259","6,732","7,958","7,888","8,031","7,886","8,243","8,124","9,404","10,349","10,606","11,191","12,769","12,585","12,164"
044008,Franklin City SD,Warren,"4,816","5,378","5,687","5,737","6,105","6,128","6,738","7,177","7,492","7,587","7,463","8,168","8,797","9,249","9,529","9,842","9,712","9,544"
044016,Fremont City SD,Sandusky,"4,561","4,697","5,115","5,529","6,015","6,343","6,821","7,337","7,401","7,631","8,245","8,685","8,707","8,606","8,884","8,494","8,618","8,489"
044024,Galion City SD,Crawford,"5,282","5,275","5,256","5,797","6,428","6,485","6,673","7,334","7,466","7,878","7,881","8,265","8,184","8,569","8,501","9,172","9,508","9,371"
044032,Gallipolis City SD,Gallia,"4,479","4,561","5,696","5,215","5,613","5,480","6,641","7,136","7,413","7,743","8,437","8,560","8,892","9,435","9,117","10,017","9,729","8,179"
044040,Garfield Heights City SD,Cuyahoga,"5,513","5,553","5,696","6,184","6,677","7,544","7,574","8,116","8,177","8,804","7,812","8,786","9,364","9,838","10,009","9,393","8,971","9,688"
044057,Geneva Area City SD,Ashtabula,"4,475","4,650","4,800","5,087","5,141","5,527","5,905","6,242","6,765","6,781","7,147","7,872","8,029","8,346","8,344","8,584","8,757","8,525"
044065,Girard City SD,Trumbull,"4,541","5,079","5,238","5,760","6,043","5,933","6,896","7,295","7,155","7,545","6,931","7,196","8,130","8,346","10,091","16,677","8,515","9,029"
044073,Grandview Heights City SD,Franklin,"7,919","7,968","8,427","8,527","8,620","8,793","9,505","10,628","10,389","11,490","11,472","11,737","13,004","13,121","14,130","14,977","15,083","15,319"
