IRN,DISTRICT,COUNTY,FY95,FY96,FY97,FY98,FY99,FY00,FY01,FY02,FY03,FY04,FY05,FY06,FY07,FY08,FY09,FY10,FY11,FY12
044966,Van Wert City SD,Van Wert,"4,306","4,605","5,222","5,261","5,468","6,088","6,469","6,845","7,074","7,526","8,047","8,600","9,717","9,281","8,896","9,039","9,722","10,064"
044974,Wadsworth City SD,Medina,"5,247","5,287","5,749","6,352","6,515","6,834","7,143","6,991","6,726","7,149","7,043","7,706","7,960","8,453","8,742","8,786","8,411","8,064"
044982,Wapakoneta City SD,Auglaize,"3,992","4,308","4,904","5,047","5,584","5,857","6,007","6,786","6,650","6,927","6,917","7,433","7,670","7,885","8,124","8,241","8,534","8,127"
044990,Warren City SD,Trumbull,"6,587","6,113","6,276","6,631","7,002","7,768","8,736","9,121","9,434","9,095","9,534","10,406","10,869","10,750","11,409","11,477","12,475","11,928"
045005,Warrensville Heights City SD,Cuyahoga,"7,591","7,050","7,238","7,466","8,038","9,255","9,622","10,761","11,640","11,768","10,751","12,419","13,843","14,294","14,410",0,"15,243","17,343"
045013,Washington Court House City,Fayette,"4,536","5,045","4,948","5,218","5,600","5,848","6,361","6,648","6,868","7,288","7,653","7,880","8,092","8,594","8,810","9,049","8,635","6,031"
045021,Wellston City SD,Jackson,"4,880","4,541","4,744","4,979","5,674","5,976","6,286","6,483","7,557","8,057","9,307","8,890","9,005","9,372","9,712","10,430","11,251","11,428"
045039,Wellsville Local SD,Columbiana,"4,544","4,754","5,101","5,649","5,950","6,136","6,990","7,416","7,812","8,213","8,269","7,799","7,483","7,903","8,556","9,239","10,064","10,113"
045047,Westerville City SD,Franklin,"5,590","5,806","5,689","6,335","6,519","6,895","7,400","7,696","8,071","8,330","8,356","8,608","9,236","9,874","10,426","10,067","10,891","10,720"
045054,West Carrollton City SD,Montgomery,"4,751","4,944","5,364","5,917","6,823","7,043","7,139","7,754","8,630","9,026","8,684","9,580","9,387","9,738","9,915","10,597","10,847","10,630"
045062,Westlake City SD,Cuyahoga,"6,914","6,760","7,941","8,434","8,655","9,196","9,841","10,125","10,152","10,601","10,998","10,955","11,518","11,914","12,538","12,880","13,249","13,293"
045070,Whitehall City SD,Franklin,"5,419","5,776","5,834","6,869","6,771","7,070","7,740","7,723","8,268","8,628","9,575","10,023","10,495","10,121","11,369","10,964","11,232","11,175"
045088,Wickliffe City SD,Lake,"7,869","7,674","7,737","8,007","9,347","10,009","9,672","10,158","9,741","10,151","9,851","9,560","9,722","10,981","12,095","12,508","12,433","12,431"
045096,Willard City SD,Huron,"4,489","4,887","4,948","5,398","5,892","6,139","6,485","6,927","7,122","7,490","8,144","8,890","9,505","9,388","9,990","10,283","9,856","10,300"
045104,Willoughby-Eastlake City SD,Lake,"6,173","6,191","6,498","6,220","6,847","6,066","7,616","8,075","8,239","8,769","8,946","9,554","9,529","10,221","10,020","10,925","11,088","10,889"
045112,Wilmington City SD,Clinton,"4,281","4,483","4,411","5,010","5,669","5,884","6,068","5,895","6,890","7,056","7,559","7,764","7,771","7,834","7,951","8,140","8,055","8,000"
045120,Wooster City SD,Wayne,"5,568","5,908","7,147","7,023","7,305","7,460","8,444","9,299","9,723","10,031","9,570","9,711","10,297","10,720","11,051","11,335","10,919","10,933"
045138,Worthington City SD,Franklin,"6,079","6,702","6,955","7,315","8,115","8,644","9,222","9,911","10,392","10,322","10,163","12,233","12,148","12,301","12,534","12,965","13,305","13,367"
045146,Wyoming City SD,Hamilton,"6,260","6,518","6,702","7,467","7,929","8,221","8,866","9,045","8,817","9,126","9,744","10,178","10,677","10,734","10,704","10,977","11,278","12,189"
045153,Xenia Community City SD,Greene,"4,886","5,060","5,700","5,461","6,022","6,960","7,049","7,852","8,720","8,749","9,079","8,663","9,705","9,930","10,150","10,835","11,154","10,215"
045161,Youngstown City SD,Mahoning,"7,192","7,686","7,542","7,829","7,550","7,946","8,257","9,488","10,780","11,302","12,560","14,630","15,388","13,302","13,283","13,823","15,408","16,909"
045179,Zanesville City SD,Muskingum,"5,264","5,258","5,814","6,090","6,409","6,768","7,805","8,579","8,723","9,231","9,120","9,306","9,748","9,430","9,070","10,297","9,912","10,020"
045187,Ada Ex Vill SD,Hardin,"4,802","5,036","5,597","5,598","6,156","6,287","7,327","7,069","7,672","7,352","7,051","7,823","7,881","8,067","8,426","8,544","8,542","8,995"
045195,Amherst Ex Vill SD,Lorain,"4,752","5,074","5,249","5,394","5,679","6,287","6,305","6,781","7,216","7,171","7,831","7,699","7,902","8,328","8,436","9,151","8,972","9,081"
045203,Barnesville Ex Vill SD,Belmont,"4,903","4,938","5,291","5,444","5,594","6,319","6,933","7,596","8,104","8,751","7,146","7,544","7,964","8,684","8,769","9,004","9,351","9,392"
045211,Bluffton Ex Vill SD,Allen,"4,024","4,236","4,878","4,755","5,635","5,773","5,948","6,591","6,266","6,826","7,278","7,730","8,306","8,081","8,008","8,469","8,640","8,309"
045229,Bradford Ex Vill SD,Miami,"5,835","6,534","6,370","6,410","6,965","7,527","7,341","7,326","7,970","7,911","8,414","8,357","8,824","9,145","9,056","9,517","9,209","9,387"
045237,Bridgeport Ex Vill SD,Belmont,"4,744","5,143","5,135","5,594","5,636","6,352","6,465","7,150","7,841","8,318","8,579","9,907","9,618","9,091","9,261","10,184","9,294","8,898"
045245,Harrison Hills City SD,Harrison,"4,338","4,571","4,753","5,022","5,315","6,246","7,004","6,816","7,120","7,367","8,040","8,310","8,677","9,817","9,840","10,586","9,615","9,660"
045252,Caldwell Ex Vill SD,Noble,"3,942","4,211","4,603","4,791","5,367","5,829","6,341","6,626","6,851","7,269","7,766","7,684","8,018","8,451","7,934","8,832","9,364","9,268"
045260,Carey Ex Vill SD,Wyandot,"2,644","4,840","4,951","5,514","5,662","5,733","6,202","6,668","6,757","7,069","7,212","7,270","7,626","7,928","8,108","8,269","8,408","8,995"
045278,Carrollton Ex Vill SD,Carroll,"3,915","4,247","4,431","4,551","4,965","5,240","5,371","5,836","6,688","7,179","7,044","7,425","8,146","7,888","7,719","8,181","8,511","8,744"
045286,Chagrin Falls Ex Vill SD,Cuyahoga,"7,235","7,152","7,481","7,634","7,912","8,568","8,991","9,430","9,623","10,305","10,984","10,746","11,325","10,874","11,332","11,912","12,304","12,311"
045294,Chesapeake Union Ex Vill SD,Lawrence,"4,838","5,001","5,121","5,176","5,612","6,097","6,469","7,117","7,437","7,280","6,850","7,436","7,706","7,820","8,298","8,922","8,997","8,658"
045302,Clyde-Green Springs Ex Vill,Sandusky,"4,507","4,798","5,280","5,390","6,027","6,459","6,496","6,923","7,097","7,555","7,946","7,955","8,126","8,746","8,750","8,975","8,771","8,553"
045310,Coldwater Ex Vill SD,Mercer,"4,324","4,668","4,762","5,361","5,621","6,157","6,732","6,984","7,333","7,738","7,949","7,860","8,854","9,107","9,633","9,626","9,848","9,479"
045328,Columbiana Ex Vill SD,Columbiana,"5,205","5,190","5,460","5,811","6,055","5,954","6,572","7,097","7,059","7,287","6,955","6,694","7,168","7,087","8,058","9,150","8,967","8,325"
045336,Covington Ex Vill SD,Miami,"4,371","4,840","5,509","5,463","5,867","5,928","6,701","7,351","6,970","7,668","8,163","8,050","8,177","8,257","8,717","9,037","8,962","9,100"
045344,Crestline Ex Vill SD,Crawford,"5,365","5,924","6,160","6,075","7,224","6,792","7,972","9,135","9,403","9,471","8,046","9,739","10,337","10,045","9,722","9,776","9,752","10,039"
045351,Crooksville Ex Vill SD,Perry,"5,053","5,240","5,500","4,722","5,401","5,881","6,454","6,837","7,329","8,193","8,288","8,424","8,414","8,827","9,304","9,427","10,169","9,896"
045369,Fairport Harbor Ex Vill SD,Lake,"5,599","5,950","6,073","6,470","6,997","7,455","8,671","9,102","8,489","8,048","8,283","7,734","9,032","8,653","9,127","9,707","9,313","10,148"
045377,Georgetown Ex Vill SD,Brown,"3,868","3,933","3,811","4,567","4,993","6,331","6,490","6,412","6,624","6,979","7,041","7,266","8,552","8,321","8,473","7,963","8,139","8,298"
045385,Gibsonburg Ex Vill SD,Sandusky,"4,565","4,736","5,103","5,370","6,033","5,972","7,040","6,564","6,765","7,155","7,201","7,998","8,111","8,333","8,167","9,009","9,317","9,445"
045393,Granville Ex Vill SD,Licking,"5,117","5,699","5,652","5,594","6,445","6,826","7,739","7,956","7,589","7,883","8,351","8,780","9,164","9,277","9,530","10,273","10,339","10,220"
045401,Greenfield Ex Vill SD,Highland,"4,366","4,428","4,577","4,652","5,319","5,479","6,375","7,105","7,136","6,808","7,771","8,000","8,048","8,057","8,339","8,508","8,827","8,910"
045419,Hicksville Ex Vill SD,Defiance,"4,283","4,549","4,625","4,843","5,344","5,805","6,298","6,652","7,297","7,613","7,698","7,623","7,821","7,983","8,400","7,579","8,212","10,257"
045427,Hubbard Ex Vill SD,Trumbull,"4,784","5,184","5,497","5,927","5,827","5,881","6,571","6,709","7,095","7,259","7,534","7,463","8,089","8,415","8,687","8,874","9,133","8,835"
045435,Indian Hill Ex Vill SD,Hamilton,"7,255","7,703","7,801","9,034","9,919","10,606","10,642","10,250","10,594","11,199","12,315","12,559","13,378","13,998","14,770","15,372","15,209","15,740"
045443,Leetonia Ex Vill SD,Columbiana,"4,384","4,343","4,810","4,874","5,110","5,401","5,552","6,297","6,732","7,175","7,381","7,772","8,067","8,323","7,835","8,101","9,013","9,423"
045450,Lisbon Ex Vill SD,Columbiana,"4,048","4,572","4,754","5,215","5,421","5,789","6,167","6,047","6,746","7,201","7,476","7,650","8,124","8,808","8,865","8,910","11,005","10,286"
045468,Loudonville-Perrysville Ex V,Ashland,"5,622","5,360","5,549","6,007","5,956","6,063","7,154","7,673","8,568","9,015","8,500","8,800","9,565","9,740","10,243","10,611","10,486","10,867"
045476,Marysville Ex Vill SD,Union,"5,496","5,283","5,505","5,848","5,986","6,921","7,137","7,936","8,671","8,720","8,740","9,121","9,755","9,696","9,193","9,673","9,466","9,809"
045484,Mechanicsburg Ex Vill SD,Champaign,"4,580","4,998","5,672","5,639","5,396","5,966","6,069","6,452","6,652","7,339","7,701","7,832","7,408","8,186","8,388","8,910","9,444","10,361"
045492,Mentor Ex Vill SD,Lake,"5,657","5,417","5,836","6,316","7,079","7,362","8,069","7,726","8,666","8,789","8,395","8,965","9,725","10,474","11,730","12,163","12,214","12,593"
045500,Milford Ex Vill SD,Clermont,"4,606","4,864","4,869","5,373","5,711","6,192","6,704","7,130","7,471","8,582","9,122","8,329","8,610","8,938","8,442","9,135","9,749","9,332"
045518,Milton-Union Ex Vill SD,Miami,"4,542","4,662","4,747","5,128","6,041","5,945","6,278","6,925","7,245","7,629","8,118","7,637","7,895","8,041","8,315","8,390","8,028","8,521"
045526,Montpelier Ex Vill SD,Williams,"4,803","5,388","6,010","5,884","6,293","6,051","6,370","6,802","7,173","7,567","8,205","8,102",0,"7,944","8,398","9,168","8,745","10,724"
045534,Mount Gilead Ex Vill SD,Morrow,"4,315","4,555","4,896","5,368","5,884","6,448","7,155","7,525","8,138","8,314","8,319","8,725","8,228","8,639","8,704","8,862","9,314","9,943"
045542,Newcomerstown Ex Vill SD,Tuscarawas,"4,958","5,311","5,566","5,897","6,925","6,946","6,689","6,928","7,972","7,275","7,768","8,323","9,203","9,415","10,105","10,105","9,790","9,475"
045559,New Richmond Ex Vill SD,Clermont,0,"6,895","7,137","7,426","7,792","8,039","8,392","9,255","10,409","10,911","9,625","10,073","9,612","10,079","10,299","11,023","10,921","10,437"
045567,Newton Falls Ex Vill SD,Trumbull,"3,986","4,889","5,256","5,278","5,465","5,614","6,318","6,934","7,237","7,487","7,325","7,739","8,021","8,351","7,661","7,908","8,169","9,027"
045575,Paulding Ex Vill SD,Paulding,"4,888","4,980","5,213","6,019","6,179","6,641","6,996","7,589","8,018","8,473","9,273","9,092","8,670","9,259","8,953","9,434","9,334","9,852"
045583,Perrysburg Ex Vill SD,Wood,"5,182","5,549","5,887","5,883","6,358","7,069","7,598","8,401","7,681","8,274","8,582","9,194","10,144","9,893","9,878","10,098","8,590","8,581"
045591,Rittman Ex Vill SD,Wayne,"4,484","4,671","5,198","5,519","5,228","6,177","6,336","7,316","7,522","8,150","8,223","8,127","7,732","7,298","7,593","8,186","9,025","8,759"
045609,Rossford Ex Vill SD,Wood,"5,809","6,082","6,278","6,527","7,192","7,441","8,233","8,648","8,826","10,201","10,516","10,816","11,503","12,032","12,023","13,570","13,848","15,589"
045617,Tipp City Ex Vill SD,Miami,"4,280","4,635","4,972","5,241","5,435","5,767","6,071","6,502","6,698","7,041","7,191","7,360","7,843","8,301","8,591","8,938","9,447","9,225"
045625,Upper Sandusky Ex Vill SD,Wyandot,"4,214","4,439","4,740","5,223","5,528","5,923","6,035","6,983","6,847","7,258","8,015","7,472","7,607","7,850","8,441","8,486","8,546","8,975"
045633,Versailles Ex Vill SD,Darke,"4,391","4,529","4,984","5,169","5,149","5,770","5,930","6,277","6,396","6,857","7,386","7,730","7,794","8,001","8,415","8,350","9,280","8,281"
045641,Wauseon Ex Vill SD,Fulton,"4,269","4,492","4,591","4,834","4,708","5,332","5,797","6,112","6,343","6,229","6,637","7,234","7,844","7,622","7,689","7,949","8,259","7,814"
045658,Wellington Ex Vill SD,Lorain,"4,186","4,857","4,700","5,301","6,015","7,283","6,862","7,053","7,637","7,810","7,797","7,705","8,068","8,335","8,746","8,395","9,632","9,677"
045666,Windham Ex Vill SD,Portage,"4,909","5,051","5,228","5,752","6,747","7,189","8,252","8,766","8,279","9,057","9,253","9,927","10,181","10,549","10,694","11,804","12,266","11,746"
045674,Yellow Springs Ex Vill SD,Greene,"6,737","6,862","6,803","7,748","8,323","8,978","8,366","9,240","8,663","9,826","10,701","11,084","11,781","11,299","11,042","11,474","10,662","10,767"
045757,Allen East Local SD,Allen,"3,857","4,344","4,721","4,959","5,053","5,282","5,867","6,464","6,495","6,176","6,802","7,470","7,659","6,917","6,926","7,037","8,101","7,670"
045765,Bath Local SD,Allen,"4,893","6,172","6,222","6,656","5,779","6,288","6,446","6,988","7,132","7,337","7,473","7,553","7,730","8,088","8,453","9,000","9,779","9,120"
045773,Elida Local SD,Allen,"4,070","4,116","4,870","5,197","5,740","5,680","6,193","6,505","6,591","6,639","7,153","7,150","7,509","7,930","7,990","8,254","8,439","8,151"
045781,Perry Local SD,Allen,"5,126","5,301","5,498","5,589","5,362","6,171","6,679","7,512","7,437","7,344","7,055","6,949","7,412","8,034","7,898","8,244","9,141","8,977"
045799,Shawnee Local SD,Allen,"5,323","5,634","5,844","5,899","6,414","6,402","6,696","7,149","7,195","7,369","7,147","7,222","7,295","7,414","8,005","8,419","9,103","8,810"
045807,Spencerville Local SD,Allen,"4,369","4,527","4,590","5,109","5,498","5,893","6,218","6,442","6,878","7,238","7,516","7,710","7,936","7,973","8,327","9,099","9,486","9,449"
045823,Hillsdale Local SD,Ashland,"4,814","5,024","5,533","5,497","5,540","5,939","6,367","6,854","7,331","7,824","7,826","8,195","7,742","7,943","8,063","9,415","9,148","9,977"
045831,Mapleton Local SD,Ashland,"4,894","5,253","5,365","5,471","5,853","6,095","6,760","6,527","6,678","7,338","8,504","7,420","7,263","7,801","8,043","8,089","8,555","8,576"
045856,Buckeye Local SD,Ashtabula,"4,807","5,075","5,298","5,826","6,327","6,527","7,125","7,590","7,876","8,436","8,122","8,377","9,100","8,661","8,933","9,202","9,234","9,168"
045864,Grand Valley Local SD,Ashtabula,"4,355","4,654","4,795","5,090","5,418","5,538","5,892","6,219","6,247","6,349","7,068","8,047","7,828","8,372","8,662","8,741","8,396","7,954"
045872,Jefferson Area Local SD,Ashtabula,"3,978","4,189","4,472","4,711","5,355","5,662","6,033","6,375","6,673","6,816","7,270","7,487","7,687","7,780","8,706","8,753","8,621","8,350"
045880,Pymatuning Valley Local SD,Ashtabula,0,"4,503","4,654","4,923","5,778","5,790","6,391","7,000","7,176","7,659","7,560","8,229","8,777","9,121","9,453","8,555","8,554","9,017"
045906,Alexander Local SD,Athens,"4,861","4,647","5,084","5,202","5,364","6,068","6,661","6,762","6,845","7,711","8,574","9,034","8,907","8,792","8,912","9,172","9,779","9,648"
045914,Federal Hocking Local SD,Athens,"4,456","4,779","5,107","5,399","5,932","6,491","7,337","7,492","8,114","9,593","9,817","10,069","10,338","10,067","10,251","10,606","11,506","11,241"
045922,Trimble Local SD,Athens,"5,067","5,054","5,079","6,457","7,851","7,326","7,951","8,249","9,051","8,853","8,939","9,257","10,158","10,238","10,561","11,290","12,091","11,484"
045948,Minster Local SD,Auglaize,"5,290","5,153","5,958","5,681","6,224","6,196","6,901","7,720","7,337","8,013","9,394","9,985","8,448","9,411","9,118","9,943","9,351","9,469"
045955,New Bremen Local SD,Auglaize,"4,674","4,519","5,092","5,156","5,379","5,889","6,654","6,875","7,153","6,972","7,167","8,032","7,919","8,627","9,260","8,962","9,717","9,556"
045963,New Knoxville Local SD,Auglaize,"4,573","4,791","5,265","5,580","6,664","7,392","7,030","7,134","7,497","7,442","7,535","7,742","7,761","8,215","8,780","9,078","9,193","9,898"
045971,Waynesfield-Goshen Local SD,Auglaize,"5,370","5,173","5,851","6,168","5,728","6,666","6,407","7,211","7,346","7,327","7,539","8,094","8,510","9,530","8,897","9,144","10,116","9,781"
045997,St Clairsville-Richland City,Belmont,"4,252","4,353","4,595","5,261","5,472","5,688","6,159","6,807","7,545","7,868","7,470","7,067","7,324","7,516","7,737","8,251","8,482","7,630"
046003,Shadyside Local SD,Belmont,"4,415","5,151","5,015","4,880","5,065","5,717","5,841","6,472","7,064","7,795","7,649","7,513","7,641","7,886","8,575","8,326","8,551","8,258"
046011,Union Local SD,Belmont,"4,004","4,920","5,017","5,294","6,363","6,364","6,715","7,020","7,332","7,391","7,107","7,864","8,384","8,826","8,731","9,368","9,071","2,697"
046037,Eastern Local SD,Brown,"4,610","4,646","4,498","5,300","5,590","6,415","7,211","6,813","6,937","7,182","7,370","7,847","8,177","8,681","8,946","9,193","9,120","9,572"
046045,Fayetteville-Perry Local SD,Brown,"4,034","4,527","4,788","4,805","6,499","5,475","5,623","6,105","6,296","6,751","7,082","7,117","7,715","8,423","8,699","9,733","8,360","8,412"
046060,Western Brown Local SD,Brown,"3,993","4,249","4,483","6,905","4,884","5,032","5,862","6,474","6,622","6,437","6,751","7,222","7,316","7,462","7,800","8,087","8,090","8,283"
046078,Ripley-Union-Lewis Local SD,Brown,"4,138","4,454","5,049","5,183","5,764","6,217","6,903","7,327","6,968","7,120","7,983","7,798","8,942","9,058","8,825","9,029","9,865","9,996"
046094,Edgewood City SD,Butler,"4,482","4,859","5,184","5,340","5,811","5,895","6,273","6,805","7,271","7,579","7,513","8,378","8,050","8,606","9,453","9,485","8,993","8,740"
046102,Fairfield City SD,Butler,"4,851","5,111","5,331","5,585","5,957","6,304","6,859","6,895","7,584","7,842","7,662","8,313","7,882","8,191","8,541","8,484","8,606","8,007"
046110,Lakota Local SD,Butler,"4,563","4,485","4,852","5,650","5,850","6,254","6,438","7,221","7,624","8,203","8,026","8,049","8,518","9,129","9,503","9,806","9,387","8,618"
046128,Madison Local SD,Butler,"4,520","4,857","5,560","5,326","5,810","6,246","6,347","6,812","7,015","7,568","7,755","8,087","8,328","8,379","8,755","8,869","9,162","8,887"
046136,New Miami Local SD,Butler,"4,741","4,869","5,055","5,601","5,951","6,050","6,886","7,701","7,869","8,020","7,531","7,814","8,311","8,764","9,124","9,370","9,173","9,475"
046144,Ross Local SD,Butler,"4,294","4,502","4,858","5,225","5,398","5,790","6,081","6,743","6,872","7,233","6,821","7,581","7,857","8,140","8,338","8,460","8,444","8,451"
046151,Talawanda City SD,Butler,"4,623","4,893","5,021","5,492","5,855","6,324","6,599","7,121","7,886","8,337","8,989","9,521","9,878","10,168","10,044","10,328","10,266","10,792"
046177,Brown Local SD,Carroll,"4,457","4,382","4,577","5,136","5,311","5,577","6,100","7,563","6,853","7,488","7,543","8,446","8,942","8,722","9,474","9,295","10,396","9,695"
046193,Graham Local SD,Champaign,"4,197","4,516","5,017","5,143","5,803","6,540","6,319","6,592","6,657","7,173","7,426","7,420","7,073","7,448","8,672","8,297","7,948","7,597"
046201,Triad Local SD,Champaign,"4,832","5,039","5,534","5,706","6,227","6,429","6,406","7,111","8,265","7,534","7,310","7,692","7,958","8,385","8,744","9,164","9,975","9,083"
046219,West Liberty-Salem Local SD,Champaign,"4,804","5,112","5,246","5,406","5,731","6,351","6,943","7,266","7,835","7,712","8,123","7,892","8,207","8,534","8,985","9,222","9,522","9,254"
046235,Greenon Local SD,Clark,"4,948","4,487","4,624","4,675","5,518","5,697","6,375","6,463","6,708","7,141","7,285","7,189","7,530","7,600","8,053","8,008","8,244","8,845"
046243,Tecumseh Local SD,Clark,"4,662","4,949","5,565","5,776","6,131","6,409","7,120","7,387","7,670","7,768","7,635","7,920","8,957","8,618","9,162","9,626","9,415","9,416"
046250,Northeastern Local SD,Clark,"4,677","5,067","5,342","5,647","5,752","5,719","6,990","6,483","6,858","7,484","7,365","7,483","7,914","8,019","8,438","8,661","8,458","8,776"
046268,Northwestern Local SD,Clark,"4,670","5,023","5,513","5,622","5,840","6,198","6,515","6,488","6,827","6,809","7,250","7,132","7,358","7,566","8,149","8,252","8,503","8,598"
046276,Southeastern Local SD,Clark,"4,744","4,939","5,709","5,534","6,455","7,335","8,366","6,944","6,681","6,676","7,610","7,915","8,149","8,226","8,114","10,074","10,090","9,850"
046284,Clark-Shawnee Local SD,Clark,"4,278","4,896","4,858","5,039","5,464","5,753","6,575","6,568","6,825","7,104","7,648","7,672","8,031","8,000","8,107","9,212","8,626","8,355"
046300,Batavia Local SD,Clermont,0,"4,980","5,000","5,610","6,509","6,889","6,915","7,373","7,978","8,324","7,887","7,335","7,677","8,417","8,577","8,091","7,932","7,968"
046318,Bethel-Tate Local SD,Clermont,"4,047","4,232","4,763","4,723","4,930","5,220","5,307","5,688","6,260","6,320","6,546","7,240","7,237","7,578","7,344","7,167","7,428","7,301"
046326,Clermont-Northeastern Local,Clermont,"4,213","4,349","4,716","5,612","6,314","6,423","7,620","6,567","7,010","6,652","7,036","7,941","8,287","8,765","8,891","9,467","10,072","9,652"
046334,Felicity-Franklin Local SD,Clermont,"4,320","4,837","4,925","5,262","5,443","6,161","6,774","7,321","7,071","7,810","8,148","8,473","9,103","9,010","9,196","9,197","8,670","8,376"
046342,Goshen Local SD,Clermont,"4,411","4,675","4,983","5,195","5,650","5,939","6,779","7,191","7,623","8,289","8,123","8,677","8,654","9,096","9,151","9,690","9,873","9,695"
046359,West Clermont Local SD,Clermont,"4,005","4,577","4,697","5,121","5,473","5,482","5,920","6,171","6,906","7,715","8,383","8,183","8,411","8,528","8,881","8,777","8,961","8,228"
046367,Williamsburg Local SD,Clermont,"4,443","4,542","4,969","5,138","5,714","6,539","6,856","6,469","6,790","7,165","7,778","8,065","8,557","9,284","7,885","8,223","7,748","7,366"
046383,Blanchester Local SD,Clinton,"4,286","4,764","4,894","4,786","5,238","5,506","10,173","6,258","6,967","7,169","7,231","7,576","7,772","8,191","8,119","8,672","8,604","7,863"
046391,Clinton-Massie Local SD,Clinton,"4,218","4,170","4,372","4,946","5,032","6,067","6,087","5,907","6,211","6,886","7,571","7,633","8,096","8,464","8,752","8,615","8,793","8,768"
046409,East Clinton Local SD,Clinton,"4,308","4,386","4,429","5,341","5,650","5,536","5,901","6,404","6,645","7,675","8,101","7,860","8,153","8,664","8,438","8,446","8,745","8,796"
046425,Beaver Local SD,Columbiana,"4,318","4,519","4,818","5,216","5,315","5,701","6,092","6,299","6,437","6,873","6,912","7,463","7,718","8,204","8,270","8,626","8,580","8,609"
046433,Crestview Local SD,Columbiana,"4,506","4,802","5,239","5,570","5,986","6,523","7,072","7,246","8,106","8,524","7,726","7,785","8,007","8,246","8,422","8,895","8,872","8,874"
046441,Southern Local SD,Columbiana,"5,093","5,282","4,983","5,628","6,640","6,469","7,020","7,634","7,411","8,067","7,758","7,913","8,235","8,981","9,087","9,289","9,813","11,848"
046458,United Local SD,Columbiana,"4,036","4,090","4,321","4,175","5,076","5,666","6,147","6,492","6,680","7,094","7,624","7,507","8,267","8,059","8,628","8,934","8,906","8,727"
046474,Ridgewood Local SD,Coshocton,"4,000","4,554","4,969","5,031","5,613","6,151","6,416","6,924","7,415","6,987","6,976","7,455","7,463","7,865","8,242","8,715","9,317","8,886"
046482,River View Local SD,Coshocton,"5,268","5,014","5,379","5,612","5,771","6,095","6,377","7,201","7,529","7,855","7,966","8,704","8,278","8,073","8,967","9,295","10,100","10,169"
046508,Buckeye Central Local SD,Crawford,"5,693","5,915","6,085","6,480","6,815","6,966","8,130","8,070","7,591","8,451","8,960","8,821","9,981","9,967","9,767","10,278","10,564","10,679"
046516,Colonel Crawford Local SD,Crawford,"5,231","5,408","5,536","6,000","6,429","6,668","7,020","7,420","8,062","8,008","7,729","7,847","8,006","8,601","9,267","8,658","9,262","9,472"
046524,Wynford Local SD,Crawford,"4,968","5,151","5,193","5,974","6,513","7,015","7,163","7,076","7,226","7,590","7,566","8,419","8,167","8,604","8,942","9,776","9,368","9,037"
046557,Cuyahoga Heights Local SD,Cuyahoga,"11,615","12,772","11,561","11,586","13,401","14,572","15,120","16,340","16,430","17,042","16,559","17,811","18,761","18,488","19,112","19,168","17,989","16,315"
046565,Independence Local SD,Cuyahoga,"9,340","9,328","9,359","9,400","9,818","10,428","11,021","11,619","11,698","11,405","11,123","12,573","13,111","13,956","14,594","14,583","14,951","16,259"
046573,Olmsted Falls City SD,Cuyahoga,"5,243","5,768","6,475","6,783","6,934","7,670","7,794","8,610","9,086","8,926","9,520","9,624","9,763","10,180","10,280","9,650","10,101","9,733"
046581,Orange City SD,Cuyahoga,"10,139","9,664","10,335","10,842","11,607","12,297","13,313","13,556","14,859","15,573","16,344","17,518","18,247","18,915","19,916","21,191","21,464","21,776"
046599,Richmond Heights Local SD,Cuyahoga,"6,988","7,179","7,329","7,181","7,849","8,175","8,549","9,052","9,015","9,415","9,814","11,146","11,674","12,187","11,657","12,203","12,660","13,634"
046607,Solon City SD,Cuyahoga,"7,660","7,674","7,935","8,238","8,529","8,878","9,651","9,909","10,395","10,820","11,038","11,125","11,373","12,266","12,647","13,169","13,387","13,214"
046623,Ansonia Local SD,Darke,"4,887","5,193","6,029","5,865","7,189","7,276","7,187","7,995","7,907","8,151","8,145","8,250","8,904","9,669","9,299","10,151","10,330","10,472"
046631,Arcanum Butler Local SD,Darke,"4,226","4,327","4,727","4,848","5,534","5,820","5,662","6,460","6,690","7,253","7,403","7,486","8,133","8,219","7,996","8,541","9,052","8,674"
046649,Franklin-Monroe Local SD,Darke,"5,249","5,260","5,513","5,546","6,224","6,355","6,606","6,934","6,978","7,002","7,252","6,985","7,722","7,887","7,976","8,055","8,412","8,565"
046672,Mississinawa Valley Local SD,Darke,"5,363","5,739","6,362","6,371","6,817","6,769","6,859","8,024","7,947","7,889","8,403","8,246","8,372","8,822","9,213","9,735","10,487","10,365"
046680,Tri-Village Local SD,Darke,"5,185","5,354","5,816","6,287","5,981","6,130","7,045","7,756","8,138","8,308","8,082","8,102","8,349","8,720","8,776","8,615","8,855","8,936"
046706,Ayersville Local SD,Defiance,"4,630","6,966","5,542","5,734","6,417","6,411","6,389","6,874","7,451","7,654","8,254","8,725","9,065","9,290","8,156","9,346","9,434","9,643"
046714,Central Local SD,Defiance,"4,795","4,988","5,099","5,317","5,812","6,115","6,708","7,495","7,408","7,928","7,592","7,838","8,178","8,278","8,627","7,426","8,324","9,174"
046722,Northeastern Local SD,Defiance,"4,813","4,934","5,911","5,442","5,664","6,180","6,733","7,197","7,008","7,383","7,824","8,110","8,719","8,851","8,722","8,858","8,783","8,675"
