DISTRICT|FY00
Manchester Local SD|12474
Akron City SD|13121
Alliance City SD|10023
Ashland City SD|8156
Ashtabula Area City SD|9456
Athens City SD|9616
Barberton City SD|8665
Bay Village City SD|9659
Beachwood City SD|17590
Bedford City SD|9501
Bellaire Local SD|7023
Bellefontaine City SD|5971
Bellevue City SD|6193
Belpre City SD|4908
Berea City SD|6431
Bexley City SD|6746
Bowling Green City SD|14348
Brecksville-Broadview Height|10260
Brooklyn City SD|11871
Brunswick City SD|9516
Bryan City SD|8676
Bucyrus City SD|8579
Cambridge City SD|9010
Campbell City SD|8844
Canton City SD|8429
Celina City SD|10370
Centerville City SD|7472
Chillicothe City SD|7655
Cincinnati City SD|6510
Circleville City SD|8005
Claymont City SD|5317
Cleveland Municipal SD|5216
Cleveland Hts-Univ Hts City|6649
Columbus City SD|8049
Conneaut Area City SD|18974
Coshocton City SD|14967
Cuyahoga Falls City SD|9599
Dayton City SD|8800
Deer Park Community City SD|8999
Defiance City SD|13531
Delaware City SD|10053
Delphos City SD|8370
Dover City SD|8394
East Cleveland City SD|6966
East Liverpool City SD|7007
East Palestine City SD|10391
Eaton Community Schools City|7278
Elyria City SD|5243
Euclid City SD|5555
Fairborn City SD|5915
Fairview Park City SD|7294
Findlay City SD|4571
Fostoria City SD|9887
Franklin City SD|11471
Fremont City SD|10091
Galion City SD|11191
Gallipolis City SD|9249
Garfield Heights City SD|8707
Geneva Area City SD|8265
Girard City SD|8437
Grandview Heights City SD|8804
Winton Woods City SD|6765
Greenville City SD|7295
Hamilton City SD|9505
Heath City SD|7480
Hillsboro City SD|5684
Huron City SD|5632
Ironton City SD|5965
Jackson City SD|4621
Kent City SD|5740
Kenton City SD|10734
Kettering City SD|9147
Lakewood City SD|8989
Lancaster City SD|11836
Lebanon City SD|9023
Lima City SD|10998
Lockland City SD|11146
Logan-Hocking Local SD|8972
London City SD|7424
Lorain City SD|9059
Loveland City SD|12875
Madeira City SD|6015
Mansfield City SD|5702
Maple Heights City SD|7463
Mariemont City SD|5440
Marietta City SD|6269
Marion City SD|6578
Martins Ferry City SD|5693
Massillon City SD|10916
Maumee City SD|12522
Mayfield City SD|8067
Medina City SD|9467
Miamisburg City SD|9145
Middletown City SD|10406
Mount Healthy City SD|10022
Mount Vernon City SD|11680
Napoleon City SD|9551
Nelsonville-York City SD|7731
Newark City SD|8514
New Boston Local SD|7938
New Lexington City SD|6140
New Philadelphia City SD|6240
Niles City SD|6117
North Canton City SD|5938
North College Hill City SD|6408
North Olmsted City SD|4865
North Ridgeville City SD|4319
North Royalton City SD|8639
Norton City SD|8788
Norwalk City SD|9240
Norwood City SD|9339
Oakwood City SD|11531
Oberlin City SD|8558
Oregon City SD|9019
Orrville City SD|7652
Painsville City Local SD|6501
Parma City SD|9110
Piqua City SD|8487
Port Clinton City SD|9793
Portsmouth City SD|7498
Princeton City SD|5910
Ravenna City SD|7757
Reading Community City SD|7029
Rocky River City SD|5055
St Bernard-Elmwood Place Cit|5920
St Marys City SD|5425
Salem City SD|11526
Sandusky City SD|15270
Shaker Heights City SD|10022
Sheffield-Sheffield Lake Cit|9280
Shelby City SD|11196
Sidney City SD|12224
South Euclid-Lyndhurst City|7615
South-Western City SD|8151
Springfield City SD|9491
Steubenville City SD|12924
Stow-Munroe Falls City SD|8413
Strongsville City SD|7489
Struthers City SD|5790
Sycamore Community City SD|8935
Sylvania City SD|6207
Tallmadge City SD|5662
Tiffin City SD|5304
Toledo City SD|4895
Toronto City SD|9611
Troy City SD|11563
Upper Arlington City SD|8164
Urbana City SD|13522
Vandalia-Butler City SD|10537
Van Wert City SD|9652
Wadsworth City SD|7683
Wapakoneta City SD|10604
Warren City SD|7316
Warrensville Heights City SD|7521
Washington Court House City|10750
Wellston City SD|6592
