DISTRICT|FY95|FY96|FY97|FY98|FY99|FY00|FY01|FY02|FY03|FY04|FY05|FY06|FY07|FY08|FY09|FY10|FY11|FY12|
Euclid City SD|7941|7963|4163|4744|4968|5555|5597|5883|6310|6748|6847|7383|7865|7626|7666|8145|8511|8659|
Fairborn City SD|8659|8978|8725|5617|6074|5915|6222|6390|7789|7706|8103|8771|9136|9775|9527|9872|9983|9886|
Fairview Park City SD|9886|10024|10328|10964|6803|7294|7763|8256|8122|8195|8976|9443|9735|10335|11382|11169|11450|12236|
Findlay City SD|12236|12452|12464|13484|12462|4571|4547|5304|5715|6119|6603|6921|7341|8199|8113|8105|8629|9560|
Fostoria City SD|9560|9458|9592|10053|10127|9887|6510|6479|6828|7392|7583|8456|9246|9957|10538|10351|11020|11049|
Franklin City SD|11049|9892|11082|12178|11994|11471|11308|5966|6351|6436|6545|7048|7303|7975|8143|8328|8826|8949|
Fremont City SD|8949|8997|9044|9470|9844|10091|10376|10269|5103|5346|6064|6259|6732|7958|7888|8031|7886|8243|
Galion City SD|8243|8124|9404|10349|10606|11191|12769|12585|12164|4816|5378|5687|5737|6105|6128|6738|7177|7492|
Gallipolis City SD|7492|7587|7463|8168|8797|9249|9529|9842|9712|9544|4561|4697|5115|5529|6015|6343|6821|7337|
Garfield Heights City SD|7337|7401|7631|8245|8685|8707|8606|8884|8494|8618|8489|5282|5275|5256|5797|6428|6485|6673|
Geneva Area City SD|6673|7334|7466|7878|7881|8265|8184|8569|8501|9172|9508|9371|4479|4561|5696|5215|5613|5480|
Girard City SD|5480|6641|7136|7413|7743|8437|8560|8892|9435|9117|10017|9729|8179|5513|5553|5696|6184|6677|
Grandview Heights City SD|6677|7544|7574|8116|8177|8804|7812|8786|9364|9838|10009|9393|8971|9688|4475|4650|4800|5087|
Winton Woods City SD|5087|5141|5527|5905|6242|6765|6781|7147|7872|8029|8346|8344|8584|8757|8525|4541|5079|5238|
Greenville City SD|5238|5760|6043|5933|6896|7295|7155|7545|6931|7196|8130|8346|10091|16677|8515|9029|7919|7968|
Hamilton City SD|7968|8427|8527|8620|8793|9505|10628|10389|11490|11472|11737|13004|13121|14130|14977|15083|15319|5482|
Heath City SD|5482|5814|6439|6554|6877|7480|7774|8644|9141|9785|10201|10876|11693|11022|11779|12636|13291|12386|
Hillsboro City SD|12386|4639|4698|4816|5535|5684|6046|6556|6714|7355|8016|8236|8357|8717|8753|8939|9020|8772|
Huron City SD|8772|9381|5061|5077|5579|5632|6176|6582|7015|7589|7533|8073|8633|9190|9272|9485|9499|9532|
Ironton City SD|9532|9190|9075|5079|5150|5965|5391|5811|6165|6498|6926|6968|6997|7318|8107|8139|8259|8058|
Jackson City SD|8058|8836|9136|9443|4363|4621|4935|5755|5867|6732|6636|6727|6950|8285|8094|8403|7827|8796|
Kent City SD|8796|9113|8887|8692|9100|5740|6380|6751|6208|6742|6839|7970|8934|8672|7565|8133|8747|9605|
Kenton City SD|9605|10619|10821|10674|10971|10734|4942|5278|5691|6157|6649|6895|7180|7593|7293|7371|7951|8026|
Kettering City SD|8026|9179|9718|10075|9559|9147|8810|4617|4355|4796|5092|5364|5798|5951|6284|6673|6907|7676|
Lakewood City SD|7676|8178|8380|9161|9332|8989|9021|8911|6608|7137|7248|7800|8094|8901|9589|9981|10439|10240|
Lancaster City SD|10240|10374|10835|11331|11508|11836|12366|12829|13926|4629|5246|5484|5883|6049|6338|6964|7374|7891|
Lebanon City SD|7891|8138|8194|8388|8765|9023|9116|9794|9184|9155|5875|6314|6104|6257|6576|6780|7412|8247|
Lima City SD|8247|8737|9434|10265|10593|10998|11078|11465|12298|12017|12005|5990|5909|6188|6403|7053|8553|8350|
Lockland City SD|8350|9670|9867|9816|10499|11146|11913|12181|12714|12632|12269|12261|5846|5514|5726|5696|6486|7018|
Logan-Hocking Local SD|7018|7967|8092|8352|8796|8972|9528|7938|8658|9205|9611|9081|9625|4277|4181|4668|4932|5245|
London City SD|5245|5758|6465|7402|6933|7424|7711|7753|7182|7440|7822|8347|8059|7983|5795|5960|5893|6027|
Lorain City SD|6027|6603|6989|7499|8651|9059|9063|9664|9369|10367|10203|10631|11414|12772|11973|7383|6668|6874|
Loveland City SD|6874|7770|8880|10175|11626|12875|12410|10723|9687|11539|11272|11241|11210|12510|12520|11985|3998|4149|
Madeira City SD|4149|4514|4723|5142|5576|6015|6546|6589|7269|7696|8024|8354|8333|8783|9384|9469|9738|4492|
Mansfield City SD|4492|4785|5204|5181|5792|5702|6247|6852|7349|7628|8491|8227|8162|9407|10324|11345|10629|8977|
Maple Heights City SD|8977|6664|6335|6569|7083|7463|8622|8435|8555|9034|9988|10317|11109|10844|9850|10410|11790|12340|
Mariemont City SD|12340|11840|4730|4762|5303|5440|6031|6169|7101|7170|7980|8316|8610|9114|8717|9322|9446|9545|
Marietta City SD|9545|9755|9843|6321|6615|6269|6341|7194|7774|7906|8370|8778|9611|10172|10155|10318|10689|10961|
Marion City SD|10961|11292|11710|11683|6056|6578|6766|6818|7121|7912|9196|9209|10322|10563|11326|12427|12535|12655|
Martins Ferry City SD|12655|14160|14406|14717|15593|5693|5715|5746|6032|6216|7144|7182|7982|7743|8827|9412|9708|10344|
Massillon City SD|10344|10024|11112|10409|11036|10916|6804|6952|7431|7255|7516|8338|8985|9557|9327|9724|10383|11235|
Maumee City SD|11235|11732|12152|12592|12856|12522|12362|4505|4631|5216|5260|5354|6288|6662|7072|7589|7497|7589|
Mayfield City SD|7589|8116|8617|8371|8534|8067|8562|8837|4471|5045|5312|5757|6252|6681|7199|7451|7645|8239|
Medina City SD|8239|7898|8381|8629|9167|9467|10114|10778|10677|5003|5585|5721|5818|5883|6366|6526|6599|6911|
Miamisburg City SD|6911|7384|7455|8427|8186|9145|8723|8866|8519|8478|5646|6155|5749|6095|6645|7150|7017|7637|
Middletown City SD|7637|8348|9167|9279|9853|10406|10488|10594|10531|11631|10296|5872|6305|6585|6794|7388|7766|8311|
Mount Healthy City SD|8311|8784|9327|10047|10116|10022|10116|10594|10649|11156|10626|11232|8319|7355|7521|7862|8237|9108|
Mount Vernon City SD|9108|9633|10387|10736|11488|11680|12052|12694|12898|13426|13940|14572|14819|6213|6307|6613|6963|7171|
Napoleon City SD|7171|7797|7951|8508|9608|9551|9193|9318|9457|9977|10428|10856|9870|9706|5071|5107|5380|5865|
Nelsonville-York City SD|5865|6179|6609|6847|7421|7731|8138|8531|8816|9158|9101|9411|9347|9678|10180|5607|5196|5779|
Newark City SD|5779|6185|6514|7127|8165|8514|9116|9440|9879|10689|10690|10807|10858|10845|10844|11013|5924|6013|
New Boston Local SD|6013|6020|6729|7281|7844|7938|8363|8917|9616|10014|10283|10553|10341|11054|10818|10533|4543|4480|
New Lexington City SD|4480|4576|4893|5330|5773|6140|6533|6822|7156|7747|7946|8391|8737|8843|8993|9044|8942|5639|
New Philadelphia City SD|5639|5629|5635|5602|5908|6240|7042|7520|7516|7526|7597|7763|8134|8915|9109|10107|10065|10900|
Niles City SD|10900|4594|4723|5035|5815|6117|6761|7470|7965|8268|8189|8727|8659|8477|8992|9117|10140|10502|
North Canton City SD|10502|10407|4939|5261|5782|5938|6277|6446|6871|7521|7871|8267|8908|9378|9377|8655|8652|9093|
North College Hill City SD|9093|9397|9638|6602|6770|6408|6377|6869|7229|8204|8381|8684|9053|9013|9382|13923|10945|9841|
North Olmsted City SD|9841|10434|10945|10002|4622|4865|5391|5517|5965|6251|6420|6902|7033|7514|7557|8528|8901|9635|
North Ridgeville City SD|9635|9562|10506|10555|10448|4319|4492|4832|5046|5548|5701|6320|6461|6781|7105|7688|7295|7410|
North Royalton City SD|7410|7113|7486|8006|8332|8639|4493|4458|4974|5301|5913|6015|6608|6955|7443|8010|7217|7593|
Norton City SD|7593|8251|8549|8056|8442|8788|8413|5175|5869|5804|5884|6196|6702|7030|7239|7469|7620|7927|
Norwalk City SD|7927|8183|8507|8945|9207|9240|9522|9528|3935|4822|5353|5334|5712|6013|6227|6521|7117|7488|
Norwood City SD|7488|7851|7861|8540|9160|9339|9530|8584|8312|6361|6214|6508|6839|7144|7942|8668|9076|9365|
Oakwood City SD|9365|9793|10220|10919|10908|11531|12226|12662|13017|13698|5319|5600|5605|6014|6721|7710|7589|7576|
Oberlin City SD|7576|7560|8028|7915|8025|8558|8661|8953|9176|9110|8732|5613|5500|5700|6456|6789|7258|7599|
Oregon City SD|7599|8254|8509|7984|8640|9019|9491|10090|9138|10679|10606|10538|4790|5069|5328|5607|5689|6538|
Orrville City SD|6538|7093|7350|7463|7127|7652|8049|8452|8621|8802|8461|8656|8771|4181|4478|4667|5053|5451|
