DISTRICT|FY95|FY96|FY97|FY98|FY99|FY00|FY01|FY02|FY03|FY04|FY05|FY06|FY07|FY08|FY09|FY10|FY11|FY12|
Paulding Ex Vill SD|5360|5549|6007|5956|6063|7154|7673|8568|9015|8500|8800|9565|9740|10243|10611|10486|10867|5496|
Perrysburg Ex Vill SD|5496|5283|5505|5848|5986|6921|7137|7936|8671|8720|8740|9121|9755|9696|9193|9673|9466|9809|
Rittman Ex Vill SD|9809|4580|4998|5672|5639|5396|5966|6069|6452|6652|7339|7701|7832|7408|8186|8388|8910|9444|
Rossford Ex Vill SD|9444|10361|5657|5417|5836|6316|7079|7362|8069|7726|8666|8789|8395|8965|9725|10474|11730|12163|
Tipp City Ex Vill SD|12163|12214|12593|4606|4864|4869|5373|5711|6192|6704|7130|7471|8582|9122|8329|8610|8938|8442|
Upper Sandusky Ex Vill SD|8442|9135|9749|9332|4542|4662|4747|5128|6041|5945|6278|6925|7245|7629|8118|7637|7895|8041|
Versailles Ex Vill SD|8041|8315|8390|8028|8521|4803|5388|6010|5884|6293|6051|6370|6802|7173|7567|8205|8102|7944|
Wauseon Ex Vill SD|7944|8398|9168|8745|10724|4315|4555|4896|5368|5884|6448|7155|7525|8138|8314|8319|8725|8228|
Wellington Ex Vill SD|8228|8639|8704|8862|9314|9943|4958|5311|5566|5897|6925|6946|6689|6928|7972|7275|7768|8323|
Windham Ex Vill SD|8323|9203|9415|10105|10105|9790|9475|6895|7137|7426|7792|8039|8392|9255|10409|10911|9625|10073|
Yellow Springs Ex Vill SD|10073|9612|10079|10299|11023|10921|10437|3986|4889|5256|5278|5465|5614|6318|6934|7237|7487|7325|
Allen East Local SD|7325|7739|8021|8351|7661|7908|8169|9027|4888|4980|5213|6019|6179|6641|6996|7589|8018|8473|
Bath Local SD|8473|9273|9092|8670|9259|8953|9434|9334|9852|5182|5549|5887|5883|6358|7069|7598|8401|7681|
Elida Local SD|7681|8274|8582|9194|10144|9893|9878|10098|8590|8581|4484|4671|5198|5519|5228|6177|6336|7316|
Perry Local SD|7316|7522|8150|8223|8127|7732|7298|7593|8186|9025|8759|5809|6082|6278|6527|7192|7441|8233|
Shawnee Local SD|8233|8648|8826|10201|10516|10816|11503|12032|12023|13570|13848|15589|4280|4635|4972|5241|5435|5767|
Spencerville Local SD|5767|6071|6502|6698|7041|7191|7360|7843|8301|8591|8938|9447|9225|4214|4439|4740|5223|5528|
Hillsdale Local SD|5528|5923|6035|6983|6847|7258|8015|7472|7607|7850|8441|8486|8546|8975|4391|4529|4984|5169|
Mapleton Local SD|5169|5149|5770|5930|6277|6396|6857|7386|7730|7794|8001|8415|8350|9280|8281|4269|4492|4591|
Buckeye Local SD|4591|4834|4708|5332|5797|6112|6343|6229|6637|7234|7844|7622|7689|7949|8259|7814|4186|4857|
Grand Valley Local SD|4857|4700|5301|6015|7283|6862|7053|7637|7810|7797|7705|8068|8335|8746|8395|9632|9677|4909|
Jefferson Area Local SD|4909|5051|5228|5752|6747|7189|8252|8766|8279|9057|9253|9927|10181|10549|10694|11804|12266|11746|
Pymatuning Valley Local SD|11746|6737|6862|6803|7748|8323|8978|8366|9240|8663|9826|10701|11084|11781|11299|11042|11474|10662|
Alexander Local SD|10662|10767|3857|4344|4721|4959|5053|5282|5867|6464|6495|6176|6802|7470|7659|6917|6926|7037|
Federal Hocking Local SD|7037|8101|7670|4893|6172|6222|6656|5779|6288|6446|6988|7132|7337|7473|7553|7730|8088|8453|
Trimble Local SD|8453|9000|9779|9120|4070|4116|4870|5197|5740|5680|6193|6505|6591|6639|7153|7150|7509|7930|
Minster Local SD|7930|7990|8254|8439|8151|5126|5301|5498|5589|5362|6171|6679|7512|7437|7344|7055|6949|7412|
New Bremen Local SD|7412|8034|7898|8244|9141|8977|5323|5634|5844|5899|6414|6402|6696|7149|7195|7369|7147|7222|
New Knoxville Local SD|7222|7295|7414|8005|8419|9103|8810|4369|4527|4590|5109|5498|5893|6218|6442|6878|7238|7516|
Waynesfield-Goshen Local SD|7516|7710|7936|7973|8327|9099|9486|9449|4814|5024|5533|5497|5540|5939|6367|6854|7331|7824|
St Clairsville-Richland City|7824|7826|8195|7742|7943|8063|9415|9148|9977|4894|5253|5365|5471|5853|6095|6760|6527|6678|
Shadyside Local SD|6678|7338|8504|7420|7263|7801|8043|8089|8555|8576|4807|5075|5298|5826|6327|6527|7125|7590|
Union Local SD|7590|7876|8436|8122|8377|9100|8661|8933|9202|9234|9168|4355|4654|4795|5090|5418|5538|5892|
Eastern Local SD|5892|6219|6247|6349|7068|8047|7828|8372|8662|8741|8396|7954|3978|4189|4472|4711|5355|5662|
Fayetteville-Perry Local SD|5662|6033|6375|6673|6816|7270|7487|7687|7780|8706|8753|8621|8350|4503|4654|4923|5778|5790|
Western Brown Local SD|5790|6391|7000|7176|7659|7560|8229|8777|9121|9453|8555|8554|9017|4861|4647|5084|5202|5364|
Ripley-Union-Lewis Local SD|5364|6068|6661|6762|6845|7711|8574|9034|8907|8792|8912|9172|9779|9648|4456|4779|5107|5399|
Edgewood City SD|5399|5932|6491|7337|7492|8114|9593|9817|10069|10338|10067|10251|10606|11506|11241|5067|5054|5079|
Fairfield City SD|5079|6457|7851|7326|7951|8249|9051|8853|8939|9257|10158|10238|10561|11290|12091|11484|5290|5153|
Lakota Local SD|5153|5958|5681|6224|6196|6901|7720|7337|8013|9394|9985|8448|9411|9118|9943|9351|9469|4674|
Madison Local SD|4674|4519|5092|5156|5379|5889|6654|6875|7153|6972|7167|8032|7919|8627|9260|8962|9717|9556|
New Miami Local SD|9556|4573|4791|5265|5580|6664|7392|7030|7134|7497|7442|7535|7742|7761|8215|8780|9078|9193|
Ross Local SD|9193|9898|5370|5173|5851|6168|5728|6666|6407|7211|7346|7327|7539|8094|8510|9530|8897|9144|
Talawanda City SD|9144|10116|9781|4252|4353|4595|5261|5472|5688|6159|6807|7545|7868|7470|7067|7324|7516|7737|
Brown Local SD|7737|8251|8482|7630|4415|5151|5015|4880|5065|5717|5841|6472|7064|7795|7649|7513|7641|7886|
Graham Local SD|7886|8575|8326|8551|8258|4004|4920|5017|5294|6363|6364|6715|7020|7332|7391|7107|7864|8384|
Triad Local SD|8384|8826|8731|9368|9071|2697|4610|4646|4498|5300|5590|6415|7211|6813|6937|7182|7370|7847|
West Liberty-Salem Local SD|7847|8177|8681|8946|9193|9120|9572|4034|4527|4788|4805|6499|5475|5623|6105|6296|6751|7082|
Greenon Local SD|7082|7117|7715|8423|8699|9733|8360|8412|3993|4249|4483|6905|4884|5032|5862|6474|6622|6437|
Tecumseh Local SD|6437|6751|7222|7316|7462|7800|8087|8090|8283|4138|4454|5049|5183|5764|6217|6903|7327|6968|
Northeastern Local SD|6968|7120|7983|7798|8942|9058|8825|9029|9865|9996|4482|4859|5184|5340|5811|5895|6273|6805|
Northwestern Local SD|6805|7271|7579|7513|8378|8050|8606|9453|9485|8993|8740|4851|5111|5331|5585|5957|6304|6859|
Southeastern Local SD|6859|6895|7584|7842|7662|8313|7882|8191|8541|8484|8606|8007|4563|4485|4852|5650|5850|6254|
Clark-Shawnee Local SD|6254|6438|7221|7624|8203|8026|8049|8518|9129|9503|9806|9387|8618|4520|4857|5560|5326|5810|
Batavia Local SD|5810|6246|6347|6812|7015|7568|7755|8087|8328|8379|8755|8869|9162|8887|4741|4869|5055|5601|
Bethel-Tate Local SD|5601|5951|6050|6886|7701|7869|8020|7531|7814|8311|8764|9124|9370|9173|9475|4294|4502|4858|
Clermont-Northeastern Local|4858|5225|5398|5790|6081|6743|6872|7233|6821|7581|7857|8140|8338|8460|8444|8451|4623|4893|
Felicity-Franklin Local SD|4893|5021|5492|5855|6324|6599|7121|7886|8337|8989|9521|9878|10168|10044|10328|10266|10792|4457|
Goshen Local SD|4457|4382|4577|5136|5311|5577|6100|7563|6853|7488|7543|8446|8942|8722|9474|9295|10396|9695|
West Clermont Local SD|9695|4197|4516|5017|5143|5803|6540|6319|6592|6657|7173|7426|7420|7073|7448|8672|8297|7948|
Williamsburg Local SD|7948|7597|4832|5039|5534|5706|6227|6429|6406|7111|8265|7534|7310|7692|7958|8385|8744|9164|
Blanchester Local SD|9164|9975|9083|4804|5112|5246|5406|5731|6351|6943|7266|7835|7712|8123|7892|8207|8534|8985|
Clinton-Massie Local SD|8985|9222|9522|9254|4948|4487|4624|4675|5518|5697|6375|6463|6708|7141|7285|7189|7530|7600|
East Clinton Local SD|7600|8053|8008|8244|8845|4662|4949|5565|5776|6131|6409|7120|7387|7670|7768|7635|7920|8957|
Beaver Local SD|8957|8618|9162|9626|9415|9416|4677|5067|5342|5647|5752|5719|6990|6483|6858|7484|7365|7483|
Crestview Local SD|7483|7914|8019|8438|8661|8458|8776|4670|5023|5513|5622|5840|6198|6515|6488|6827|6809|7250|
Southern Local SD|7250|7132|7358|7566|8149|8252|8503|8598|4744|4939|5709|5534|6455|7335|8366|6944|6681|6676|
United Local SD|6676|7610|7915|8149|8226|8114|10074|10090|9850|4278|4896|4858|5039|5464|5753|6575|6568|6825|
Ridgewood Local SD|6825|7104|7648|7672|8031|8000|8107|9212|8626|8355|4980|5000|5610|6509|6889|6915|7373|7978|
River View Local SD|7978|8324|7887|7335|7677|8417|8577|8091|7932|7968|4047|4232|4763|4723|4930|5220|5307|5688|
Buckeye Central Local SD|5688|6260|6320|6546|7240|7237|7578|7344|7167|7428|7301|4213|4349|4716|5612|6314|6423|7620|
Colonel Crawford Local SD|7620|6567|7010|6652|7036|7941|8287|8765|8891|9467|10072|9652|4320|4837|4925|5262|5443|6161|
Wynford Local SD|6161|6774|7321|7071|7810|8148|8473|9103|9010|9196|9197|8670|8376|4411|4675|4983|5195|5650|
Cuyahoga Heights Local SD|5650|5939|6779|7191|7623|8289|8123|8677|8654|9096|9151|9690|9873|9695|4005|4577|4697|5121|
Independence Local SD|5121|5473|5482|5920|6171|6906|7715|8383|8183|8411|8528|8881|8777|8961|8228|4443|4542|4969|
Olmsted Falls City SD|4969|5138|5714|6539|6856|6469|6790|7165|7778|8065|8557|9284|7885|8223|7748|7366|4286|4764|
Orange City SD|4764|4894|4786|5238|5506|10173|6258|6967|7169|7231|7576|7772|8191|8119|8672|8604|7863|4218|
Richmond Heights Local SD|4218|4170|4372|4946|5032|6067|6087|5907|6211|6886|7571|7633|8096|8464|8752|8615|8793|8768|
Solon City SD|8768|4308|4386|4429|5341|5650|5536|5901|6404|6645|7675|8101|7860|8153|8664|8438|8446|8745|
Ansonia Local SD|8745|8796|4318|4519|4818|5216|5315|5701|6092|6299|6437|6873|6912|7463|7718|8204|8270|8626|
Arcanum Butler Local SD|8626|8580|8609|4506|4802|5239|5570|5986|6523|7072|7246|8106|8524|7726|7785|8007|8246|8422|
Franklin-Monroe Local SD|8422|8895|8872|8874|5093|5282|4983|5628|6640|6469|7020|7634|7411|8067|7758|7913|8235|8981|
Mississinawa Valley Local SD|8981|9087|9289|9813|11848|4036|4090|4321|4175|5076|5666|6147|6492|6680|7094|7624|7507|8267|
Tri-Village Local SD|8267|8059|8628|8934|8906|8727|4000|4554|4969|5031|5613|6151|6416|6924|7415|6987|6976|7455|
Ayersville Local SD|7455|7463|7865|8242|8715|9317|8886|5268|5014|5379|5612|5771|6095|6377|7201|7529|7855|7966|
Central Local SD|7966|8704|8278|8073|8967|9295|10100|10169|5693|5915|6085|6480|6815|6966|8130|8070|7591|8451|
Northeastern Local SD|8451|8960|8821|9981|9967|9767|10278|10564|10679|5231|5408|5536|6000|6429|6668|7020|7420|8062|
Big Walnut Local SD|8062|8008|7729|7847|8006|8601|9267|8658|9262|9472|4968|5151|5193|5974|6513|7015|7163|7076|
Buckeye Valley Local SD|7076|7226|7590|7566|8419|8167|8604|8942|9776|9368|9037|11615|12772|11561|11586|13401|14572|15120|
Olentangy Local SD|15120|16340|16430|17042|16559|17811|18761|18488|19112|19168|17989|16315|9340|9328|9359|9400|9818|10428|
Berlin-Milan Local SD|10428|11021|11619|11698|11405|11123|12573|13111|13956|14594|14583|14951|16259|5243|5768|6475|6783|6934|
Kelleys Island Local SD|6934|7670|7794|8610|9086|8926|9520|9624|9763|10180|10280|9650|10101|9733|10139|9664|10335|10842|
Margaretta Local SD|10842|11607|12297|13313|13556|14859|15573|16344|17518|18247|18915|19916|21191|21464|21776|6988|7179|7329|
Perkins Local SD|7329|7181|7849|8175|8549|9052|9015|9415|9814|11146|11674|12187|11657|12203|12660|13634|7660|7674|
Vermilion Local SD|7674|7935|8238|8529|8878|9651|9909|10395|10820|11038|11125|11373|12266|12647|13169|13387|13214|4887|
Amanda-Clearcreek Local SD|4887|5193|6029|5865|7189|7276|7187|7995|7907|8151|8145|8250|8904|9669|9299|10151|10330|10472|
Berne Union Local SD|10472|4226|4327|4727|4848|5534|5820|5662|6460|6690|7253|7403|7486|8133|8219|7996|8541|9052|
Bloom Carroll Local SD|9052|8674|5249|5260|5513|5546|6224|6355|6606|6934|6978|7002|7252|6985|7722|7887|7976|8055|
Fairfield Union Local SD|8055|8412|8565|5363|5739|6362|6371|6817|6769|6859|8024|7947|7889|8403|8246|8372|8822|9213|
Liberty Union-Thurston Local|9213|9735|10487|10365|5185|5354|5816|6287|5981|6130|7045|7756|8138|8308|8082|8102|8349|8720|
Pickerington Local SD|8720|8776|8615|8855|8936|4630|6966|5542|5734|6417|6411|6389|6874|7451|7654|8254|8725|9065|
Walnut Township Local SD|9065|9290|8156|9346|9434|9643|4795|4988|5099|5317|5812|6115|6708|7495|7408|7928|7592|7838|
Miami Trace Local SD|7838|8178|8278|8627|7426|8324|9174|4813|4934|5911|5442|5664|6180|6733|7197|7008|7383|7824|
Canal Winchester Local SD|7824|8110|8719|8851|8722|8858|8783|8675|4463|5170|4964|5166|5950|6093|6660|7364|7485|7536|
Hamilton Local SD|7536|8245|8654|9284|9615|9675|9396|9261|9341|4846|5226|5352|5780|6141|6169|6921|7398|7933|
Gahanna-Jefferson City SD|7933|8123|8352|8356|9212|9457|9631|9866|9938|9748|5586|5981|6436|6320|6587|7311|7902|8359|
Groveport Madison Local SD|8359|9062|8828|8214|8507|9187|9460|9603|9466|9599|5448|5232|5674|5594|5860|6439|6931|7277|
Plain Local SD|7277|7376|7771|7858|8150|8505|8243|9198|9283|9403|9422|14635|27139|16583|15476|15657|17609|16875|
Reynoldsburg City SD|16875|21699|23040|25811|32830|40672|48033|43039|55616|57181|83691|113524|5188|5591|5540|5807|6140|6535|
Hilliard City SD|6535|6861|7161|7600|8371|8367|9288|9506|9888|10172|9817|10042|10396|5799|6070|6418|6618|7408|
Dublin City SD|7408|7620|7919|8538|8496|8556|7968|8795|9214|9434|9968|9686|9994|9856|5891|6008|6123|6181|
Archbold-Area Local SD|6181|6835|7366|7174|8083|7898|8383|8937|9129|9285|10674|9889|9929|9825|10211|3956|4543|4604|
Evergreen Local SD|4604|5010|5993|5831|5522|6541|6480|7636|7613|8335|8073|9296|8802|7876|8218|7790|4797|4864|
Gorham Fayette Local SD|4864|5149|5318|5380|5761|5996|6703|6799|7465|7396|7221|8014|8215|8665|9232|9413|9826|4527|
Pettisville Local SD|4527|4483|4421|4728|5265|5838|6607|7152|7695|7980|7767|7535|7753|8188|8334|8283|8752|8669|
Pike-Delta-York Local SD|8669|4579|4821|5188|5567|6051|6035|6456|6797|7284|7053|7356|7844|7819|7978|7904|8314|8656|
Swanton Local SD|8656|8482|4770|5169|5498|5816|5989|6596|7265|7320|7609|7954|7757|7589|8222|8332|8787|8675|
Berkshire Local SD|8675|8622|8961|4925|5352|5535|5851|6076|6371|6853|7430|7426|7998|8347|8834|8917|9299|9623|
Cardinal Local SD|9623|9876|9865|9520|5052|5357|5401|5744|6153|6185|6314|6435|6802|6648|7162|8084|8280|9346|
Chardon Local SD|9346|11268|11452|10580|10886|7525|5067|5546|5762|5579|6304|6986|7522|7794|7787|7828|8392|8961|
Kenston Local SD|8961|9187|9749|9503|9467|9399|5697|5248|5426|5868|6366|6958|7291|7330|8369|8558|8316|8569|
Ledgemont Local SD|8569|9142|9083|8839|9604|10508|9781|4493|5119|5725|6259|5927|6773|6877|7332|7669|7621|7433|
Newbury Local SD|7433|7997|7976|7694|8660|8945|8143|8504|5921|5704|5798|6271|6655|6918|7863|8129|8367|8850|
West Geauga Local SD|8850|9311|9848|10028|10719|11288|11832|11626|11426|5709|6088|6095|6253|6436|7614|8625|9180|8843|
Beavercreek City SD|8843|9590|8584|9609|9501|9646|10893|10658|10967|6527|7477|7474|7739|8664|8519|8692|9106|9257|
Cedar Cliff Local SD|9257|9267|9868|9816|10873|10947|10821|11814|12248|12137|5250|5431|5256|5461|6228|6487|7120|7321|
Greeneview Local SD|7321|7168|8652|8222|9324|8662|9412|9803|9678|9313|10140|5006|4944|5527|6070|6369|6932|7583|
Sugarcreek Local SD|7583|8366|8666|8759|9381|9806|10234|10968|10697|11475|11399|11335|5557|6481|7834|7690|6592|7886|
Rolling Hills Local SD|7886|8511|9911|9447|9511|10548|11539|11444|11731|12127|12881|13014|12709|4829|5143|5361|5396|6203|
Finneytown Local SD|6203|6682|6784|7799|7907|8386|8818|9800|8840|9076|8689|9001|9222|9310|5010|5337|5744|5564|
Forest Hills Local SD|5564|6412|6839|7447|7950|7920|7896|8242|8436|9225|9832|9749|10324|9797|10254|5071|5462|5493|
Northwest Local SD|5493|6218|6857|7301|8410|8738|8544|9033|9184|10246|12860|11801|10244|9932|10372|10324|5064|5471|
Oak Hills Local SD|5471|5715|6005|6024|6064|6900|7358|7339|7788|7530|8390|8455|8606|8645|8718|9565|9383|4654|
Southwest Local SD|4654|4813|4967|5291|6031|6638|7499|8182|7890|7980|8094|8883|9137|9881|9671|9789|10133|9870|
Three Rivers Local SD|9870|4772|4973|5411|5785|5975|6347|7141|7408|7658|6833|7077|8135|8572|9561|9617|10144|9924|
Arcadia Local SD|9924|9799|5385|5691|5925|6133|6088|6633|7186|8039|7856|7679|8072|7343|8096|8926|9047|10063|
Arlington Local SD|10063|10008|10608|5252|6113|6338|6225|6736|7877|7993|8860|9740|9713|9341|9144|8590|9376|9411|
Cory-Rawson Local SD|9411|10135|9259|10597|5407|5391|5740|6020|6124|6939|7408|7527|7870|7952|8225|8130|8321|9236|
Liberty Benton Local SD|9236|9891|10296|10024|10237|6350|6503|6060|6411|7130|7428|7987|8351|8726|9484|9801|9910|10569|
McComb Local SD|10569|10939|10916|11378|11294|11377|5657|6251|6130|6398|6507|7172|7533|7395|7828|7383|7623|7344|
Van Buren Local SD|7344|8856|8927|8464|9178|10972|10982|6257|6927|7535|7614|7501|8916|7964|8913|8918|8950|8632|
Vanlue Local SD|8632|9343|9909|10834|11221|11529|12199|13679|6279|6440|7165|6916|6487|7553|7494|8307|7760|8726|
Hardin Northern Local SD|8726|9189|9009|9848|10447|11164|11282|11490|11813|6044|5881|6078|6586|7062|8308|7030|7526|7734|
Ridgemont Local SD|7734|7594|8068|8336|9037|11376|9348|10204|10692|10307|4544|4751|5418|5588|6289|5515|6821|7506|
Riverdale Local SD|7506|7342|7970|8060|8637|8587|8824|8826|9642|9821|9125|4078|4331|4646|4869|6038|5929|6908|
Upper Scioto Valley Local SD|6908|6532|7277|7092|7219|7081|7533|8020|7854|8232|8444|8226|3185|4558|5337|5551|5861|6282|
Conotton Valley Union Local|6282|6644|7430|7048|7489|8026|8241|8720|9393|9214|8961|9670|10140|4433|4752|5118|5298|5833|
Holgate Local SD|5833|6424|6824|6845|7112|7271|7290|7406|7849|8150|8438|8957|8788|9452|5279|5512|5668|6246|
Liberty Center Local SD|6246|6769|7098|7801|8331|9008|9706|9654|10058|10602|11336|11584|11981|12243|12916|4673|4900|5286|
Patrick Henry Local SD|5286|5344|5738|6462|6849|7358|7630|8030|8547|8901|9388|10097|10463|10289|10495|10209|4693|5002|
Bright Local SD|5002|5462|5929|6399|6539|7130|7504|7606|7914|8320|8461|8507|9077|9241|9399|9675|9381|4243|
Fairfield Local SD|4243|4425|4643|5068|5311|5823|6254|6652|7036|7348|7647|7940|8318|8713|9121|9415|9652|9166|
Lynchburg-Clay Local SD|9166|4658|4643|4947|5024|5522|5850|6420|6891|7424|7708|8196|8332|8555|8816|9560|9608|10248|
East Holmes Local SD|10248|9695|5400|5569|5338|5689|6440|6793|7540|7916|8309|8942|9122|9945|10237|9908|10583|11919|
West Holmes Local SD|11919|11771|10901|5466|5091|5178|5658|6108|6228|6729|7241|7600|7479|7430|7389|8822|9245|9895|
Monroeville Local SD|9895|9533|9457|9385|4437|4556|5260|5359|5755|5930|6255|7036|7282|7522|8372|8627|8373|8959|
New London Local SD|8959|9877|10645|10271|10106|5636|5276|5614|5875|6326|6622|6960|7622|8173|7725|8348|8879|9259|
South Central Local SD|9259|10306|11525|10791|10368|10910|4436|5295|5271|5510|5768|5479|5538|6381|6553|6999|7221|7616|
Western Reserve Local SD|7616|8231|8961|9391|8867|8781|9017|4680|4937|5404|5431|6015|6228|6560|7299|7360|7185|8250|
Oak Hill Union Local SD|8250|8606|9322|9468|9052|9724|9983|10174|5016|5452|5681|6221|6286|6580|6742|6976|6972|7582|
Buckeye Local SD|7582|7907|8053|8331|8421|8590|9606|10038|10202|4603|4904|5780|6107|6144|7204|7379|7922|8725|
Edison Local SD|8725|8438|8341|8749|9663|10255|9692|11865|11152|11130|4791|4805|5002|5974|7034|6954|6986|6877|
Indian Creek Local SD|6877|7191|7294|7852|8614|7643|8222|8989|8830|9101|9080|5106|5284|5345|5757|6444|6276|6706|
Centerburg Local SD|6706|7029|6989|7441|7255|7780|7922|8225|8813|8757|8690|9983|4391|4618|5189|5481|5638|5783|
Danville Local SD|5783|6478|6867|7316|7614|7878|8951|9297|9307|10014|9527|9634|4886|4858|5158|5331|6464|6039|
East Knox Local SD|6039|6760|7434|7934|7988|7418|7754|7037|7190|8410|12091|12465|10572|5149|5269|5313|5786|6564|
Fredericktown Local SD|6564|6607|7437|7219|7997|8462|8588|8986|8972|9408|10028|10017|10158|10336|4696|4866|5108|5439|
Kirtland Local SD|5439|6648|7019|7235|7942|7661|7970|7936|8763|8973|8871|9110|9414|10047|10034|4464|4330|4858|
Madison Local SD|4858|5053|5910|6134|6213|6411|6867|7051|7920|8353|8171|8416|8725|9003|9144|10244|4657|4483|
Painsville Township Local SD|4483|5201|6018|6486|7361|7722|8154|7967|9381|10999|8901|8884|9505|9830|10599|10253|10205|4208|
Perry Local SD|4208|4382|4511|4953|5377|6295|7366|7025|7167|6837|7911|8490|9106|9136|9707|10355|10339|10157|
Dawson-Bryant Local SD|10157|4089|4289|4699|5044|5644|5843|6459|6887|7282|6983|7898|8217|8487|7860|8045|7493|8050|
Fairland Local SD|8050|8461|3994|4063|4514|4567|4933|5108|6184|6593|6785|6565|6693|7367|7626|7688|8224|8626|
Rock Hill Local SD|8626|8992|8987|4242|4769|5576|6239|5830|6391|7474|7182|7525|7671|8680|8435|8506|8861|9379|
South Point Local SD|9379|9451|9554|9633|4044|4050|4771|4961|4929|5152|5840|6433|6696|7318|7817|7846|8158|8217|
Symmes Valley Local SD|8217|8433|8584|9029|9680|4680|4718|5004|4779|5164|5988|6657|7229|6623|6863|7730|8446|8723|
Johnstown-Monroe Local SD|8723|8580|9195|9312|9351|9400|4472|5145|5164|5593|6094|6843|6694|7503|7750|7433|7455|7311|
Lakewood Local SD|7311|7626|7741|8233|8062|8963|9356|4819|5433|5118|5899|6369|6461|6586|7061|7195|7942|7816|
Licking Heights Local SD|7816|7705|8277|8380|9681|9739|9703|9954|4808|4815|5361|5286|5710|6517|7507|7699|9281|8997|
Licking Valley Local SD|8997|8814|9127|9091|8939|8788|8806|8497|8801|4570|4400|5066|5498|6105|6354|6845|6832|6878|
North Fork Local SD|6878|6852|7328|7936|7955|8286|8615|9096|8736|4619|5703|6050|6325|5715|6085|6686|6916|7214|
Northridge Local SD|7214|7514|7532|8427|8463|9090|9199|10054|10085|9932|5736|5737|5577|5926|6360|6460|6338|6941|
Southwest Licking Local SD|6941|7249|7546|8172|7980|8926|8173|8858|9581|9536|9432|5078|5320|5531|6090|6755|6918|8003|
Benjamin Logan Local SD|8003|7207|6785|7036|7372|7377|7868|8212|8400|8540|8454|8502|4279|4662|5289|4746|5921|5812|
Indian Lake Local SD|5812|6466|6475|7034|7650|7164|7897|7861|8097|8579|8681|9150|8831|4962|4904|5416|5479|5602|
Riverside Local SD|5602|6261|7153|7597|7865|7809|7415|7343|7973|9189|9270|9611|9755|9306|4617|4627|5069|4993|
Avon Local SD|4993|5269|5575|6005|6165|6320|6493|7089|7919|9016|9002|8421|8876|8676|9089|4836|4639|4870|
Avon Lake City SD|4870|5418|5800|6719|6895|7229|7566|8006|7892|8322|8725|8502|9262|8831|8901|11037|9682|8035|
Clearview Local SD|8035|8945|8235|8155|8704|9058|9973|9231|9894|9653|10347|10594|11014|11312|11935|12306|12061|5345|
Columbia Local SD|5345|5303|5682|5875|6670|6486|6884|7117|7626|7743|8060|8017|8158|8076|9099|9297|9161|9142|
Firelands Local SD|9142|7706|6039|6200|6501|6926|7189|7364|8062|8279|8156|8058|8123|8510|9442|9419|9675|9247|
Keystone Local SD|9247|8895|10289|9928|10125|11228|12160|13692|14374|15160|14009|14275|14436|14652|14930|14441|13021|13278|
Midview Local SD|13278|13350|13646|4967|5413|5745|5665|6124|6601|6486|6788|7015|7682|8188|9187|9896|10654|9988|
Anthony Wayne Local SD|9988|9298|9913|10014|3823|4087|4594|4691|4914|5219|5746|6138|6383|6709|6996|7575|7765|8335|
Ottawa Hills Local SD|8335|8581|8219|8273|8210|4523|4999|5093|4968|5238|5667|6410|6500|7558|9049|9274|9488|10311|
Springfield Local SD|10311|11427|11938|12405|13121|11883|4285|4665|5193|5458|6262|6080|5947|6784|7055|7340|7238|7888|
Washington Local SD|7888|8618|9144|8590|8907|8477|8294|4770|4913|5235|5087|5275|5978|6625|6987|7758|7832|8792|
Jefferson Local SD|8792|8671|10334|10887|10746|11364|11138|10931|4408|4524|4518|4478|5174|5901|6153|6513|6752|6377|
Jonathan Alder Local SD|6377|6843|7626|7707|7594|8026|7298|7726|8027|4867|4850|5170|5418|5757|6451|6330|6683|7507|
Madison-Plains Local SD|7507|7618|7866|8202|8548|9154|8995|9723|9754|9561|5172|5558|5840|6046|6094|6104|6101|6832|
Austintown Local SD|6832|6902|7099|7450|8515|8201|8476|8128|8620|8713|8408|3545|4133|4896|5095|5431|5697|6537|
Boardman Local SD|6537|7234|7253|7374|7524|7599|7806|7767|8103|8165|8614|9053|4231|4457|4552|5127|5331|5649|
Canfield Local SD|5649|5906|6492|6510|6801|7099|7562|7637|7752|8526|9021|8918|8838|5074|5478|5369|5547|6101|
Jackson-Milton Local SD|6101|6873|6466|6524|7329|7542|7820|8526|8127|8107|7869|8553|8844|8860|4574|4806|5223|5486|
Lowellville Local SD|5486|6093|6349|6696|7327|7842|8101|7335|8276|8199|8960|8690|9459|9383|9282|4746|4967|5047|
Poland Local SD|5047|5295|5310|5847|5505|6128|6771|7094|7917|8160|8327|8698|9026|9536|9830|10066|4730|5149|
Sebring Local SD|5149|5435|6507|5233|6028|6631|6907|7418|7626|7818|8207|8615|9065|9515|9957|9757|9417|4197|
South Range Local SD|4197|4517|5076|5276|6221|6562|6907|6286|7523|7768|7969|8505|8878|9789|9256|9574|9821|10247|
Springfield Local SD|10247|5363|5174|5455|5403|5449|6393|6582|7094|6501|7366|7264|7465|7702|7974|8001|7707|7181|
West Branch Local SD|7181|7274|5556|6037|5763|6659|6746|8266|7735|8299|8406|9397|9799|9571|9686|10047|10334|10564|
Western Reserve Local SD|10564|10904|10859|4998|5228|5542|5582|5860|7727|7316|8339|8015|8645|8704|8996|7829|8248|7956|
Elgin Local SD|7956|8511|8415|9451|4953|5189|5485|5728|6001|6490|6716|7318|7157|7386|7830|8181|8556|9506|
